TIME,BUS1,BUS2,BUS3,BUS4,BUS5,BUS6,BUS7,BUS8,BUS9
1.69,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.7,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.71,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.72,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.73,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.74,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.75,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.76,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.77,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.78,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.79,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.8,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.81,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.82,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.83,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.84,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.85,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.86,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.87,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.88,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.89,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.9,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.91,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.92,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.93,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.94,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.95,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.96,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
1.97,1.05,1.05,1.05,1.02,0.977,0.995,1.032,1.012,1.042
